Category,Number,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,
Biological Process,7156,homophilic cell adhesion via plasma membrane adhesion molecules,40,2.108592514,6.89E-10,"CLSTN3, PCDHGB3, AMIGO1, PCDHGB2, PCDH15, CDH8, TRO, CDH3, BSG, ME1, PCDHA4, PCDHA3, PCDHA6, PCDHGA7, PCDHGA6, PCDHGA5, PCDHGA4, PCDHGA3, PCDHGA2, PCDH8, PCDHB14, PCDHB13, PCDHB12, PCDHB11, PCDHA11, IGFN1, PCDHB2, PCDHB16, PCDHB6, PCDHGB1, DSG1, PCDHB5, DCHS1, PCDHB4, PCDHB3, DSC1, SDK2, DSC2, CDH18, NECTIN2",1416,174,18585,3.017241379,3.15E-06,3.15E-06,3.15E-06,
Molecular Function,978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,145,7.643647865,2.70E-07,"ZNF331, ZNF175, PRDM4, RORC, SOX21, DACH1, ZSCAN31, SALL2, ZNF727, ZNF606, ZNF605, ZNF84, ZNF723, FOXO3B, ZNF445, SOX7, HES7, ZNF165, NKX2-8, ZNF285, ZNF681, ZNF284, ZNF98, EBF4, MYT1, FOXP3, POU3F3, POU3F4, ZNF717, ZNF835, ZNF679, ZSCAN23, ZSCAN26, ZNF711, ZNF677, ZNF311, ZNF157, ZNF432, ZNF155, ZNF274, FOXO3, HOXB13, ZNF26, PGBD1, ZNF549, ZKSCAN8, ZNF548, ZSCAN12, NDN, ZNF667, ZKSCAN4, SMYD3, NKX2-5, ZNF268, ZSCAN16, ZNF540, ZNF660, EGR3, ZNF140, ESRRB, POU6F2, RAX2, MLXIPL, ZNF419, ZFP62, MKX, ZNF534, RBAK, ZNF773, SLC2A4RG, ZNF134, ZNF772, HIF3A, ZNF45, DBP, HEY1, ZNF280A, SIX5, ZNF528, SIX2, SIX3, ZIC1, ZNF525, ZIK1, NKX3-1, KDM6B, ZSCAN5A, HSFX1, FOXL2, OLIG1, KLF15, ZFX, PAX1, ZNF879, TOP1, ZNF114, FOXD4L1, ZNF112, ZNF750, ZNF232, ZNF594, ZNF230, ZNF350, ZNF471, ZNF470, SATB2, FOXK1, HDAC6, DDN, ZNF229, ZNF502, ZNF501, ZNF225, HDX, ZNF224, RXRG, ZNF223, ZNF222, ZNF221, ZNF583, ZNF581, ZNF184, ZNF580, ZNF182, ZIC4, MEIS3, POU4F1, VAX2, TBX3, ZNF765-ZNF761, KLF8, ZNF74, ZNF615, ZNF613, ZNF578, ZNF577, ZNF354A, ZNF852, ZNF850, ZNF354C, ZNF454, ZNF695, ZFP28, ZNF354B, GZF1",1449,1198,18178,1.518409449,4.01E-04,3.34E-04,3.33E-04,
Biological Process,15718,monocarboxylic acid transport,11,0.579862941,3.10E-07,"SLC16A1, SLC16A6, SLC6A13, SLC16A11, SLC5A12, SLC6A12, SLC6A11, SLC16A10, SLC16A4, SLC16A14, SLC16A13",1416,19,18585,7.598684211,0.001416456,7.09E-04,7.08E-04,
Molecular Function,5509,calcium ion binding,98,5.166051661,4.50E-07,"CLSTN3, DGKB, DGKA, CDH8, EFEMP2, CDH3, ENPP2, CHP2, CPNE1, SVEP1, EYS, PCID2, ACTN2, EPDR1, VWDE, PCDHA11, HPCAL4, PADI3, DSC1, MYL9, DSC2, PVALB, FBN2, CACNA1B, ITPR1, PCDH15, CABP1, RASGRP2, FBLN2, CRACR2A, PCDHA4, PCDHA3, PLCG1, PCDHA6, SYT5, SYT3, FER1L5, FER1L4, ALOX15B, PCDHB2, CPS1, PCDHB6, PCDHB5, CALM3, PCDHB4, DCHS1, PCDHB3, TENM2, PCDHGB3, PCDHGB2, TCHH, MYL6B, PPP3CA, GRM7, ME1, ANXA9, PCDHGA7, PCDHGA6, PLA2G4F, PCDHGA5, ADGRV1, PCDHGA4, PCDHGA3, PCDHGA2, RCN3, PLCB4, PCDHGB1, DSG1, MICU3, LCP1, PLCB2, MATN3, CDH18, DLL1, FSTL4, DLL3, DUOX1, PRRG3, EGFLAM, PRRG2, SNCB, CGREF1, AOC1, PLA2G2C, F12, PCDH8, PCDHB14, PCDHB13, PCDHB12, PCDHB11, TUBB4A, CAPN14, NELL1, PCDHB16, NUCB1, CD248, MEGF8, ADGRL3",1449,734,18178,1.674972686,6.67E-04,3.34E-04,3.33E-04,
Biological Process,6357,regulation of transcription from RNA polymerase II promoter,182,9.594095941,7.02E-07,"RB1, ZNF331, ZNF175, PRDM4, ZNF292, RORC, ARID4A, CCNC, HR, SOX21, TPRXL, DACH1, ZSCAN31, SALL2, ZNF727, ZNF606, CREB3L1, ZNF605, ZNF84, ZNF723, FOXO3B, ZNF445, SOX7, HES7, ZNF165, NKX2-8, ZNF285, ZNF681, ZNF284, PRKCB, ZNF10, ZNF98, EBF4, MYT1, FOXP3, POU3F3, POU3F4, ZNF717, ZNF835, ZNF679, ZSCAN23, ZSCAN26, ZNF711, ZNF677, ZNF311, ZNF157, ZNF432, ZNF155, URI1, ZNF274, ZNF391, CREBL2, FOXO3, HOXB13, NPAS1, ZNF26, MED12L, NPAS3, PGBD1, ZNF549, ZKSCAN8, ZNF548, ZSCAN12, ZNF667, ZKSCAN4, NKX2-5, ZNF268, ZSCAN16, KAT14, ZNF541, ZNF540, ABCA2, ZNF660, EGR3, ZNF140, ESRRB, POU6F2, IRF2BP1, RAX2, MLXIPL, ZNF419, ZFP62, LHX1, LHX6, MKX, ZNF534, RBAK, MNAT1, ZNF773, SLC2A4RG, ZNF134, ZNF772, CSRNP3, HIF3A, ZNF45, DMBX1, DBP, HEY1, ZNF280A, PPP1R13L, SIX5, ZNF528, SIX2, SIX3, ZIC1, ZNF404, ZNF525, CIC, ZIK1, NKX3-1, ZSCAN5A, ZHX3, TCF15, PEG3, HSFX1, FOXL2, OLIG1, KLF15, ZFX, PAX1, TOX3, TOX2, ZNF879, ZNF114, FOXD4L1, ZNF112, ZNF232, ZNF594, ZNF230, ZNF350, ZNF471, ZNF470, SATB2, ZNF518B, FOXK1, ZNF69, HIRA, GBX1, ZNF229, ZNF502, ZNF501, ZNF589, ZNF225, HDX, ZNF224, RXRG, ZNF223, ZNF343, ZNF222, ZNF221, ZNF583, ZNF582, ZNF581, ZNF184, ZNF580, ZNF182, ZNF180, PASD1, ELP3, ZIC4, MEIS3, EPOP, POU4F1, VAX2, TBX3, ZNF765-ZNF761, KLF8, ZNF74, ZNF615, ZNF614, ZNF613, ZNF578, ZNF577, ZNF354A, ZNF852, TAF4, ZNF850, ZNF354C, ZNF454, ZNF695, ZFP28, ZNF354B",1416,1681,18585,1.421029149,0.003207314,9.86E-04,9.85E-04,
Biological Process,6355,"regulation of transcription, DNA-templated",117,6.167633105,8.62E-07,"RB1, ZNF331, ZNF175, PRDM9, SOX21, UBE2L3, PPP2R1A, ZNF727, ZNF606, ZNF84, ZNF723, ZNF445, SOX7, ZNF285, ZNF681, ZNF284, ZNF10, ZNF98, EBF4, MYT1, FOXP3, ZNF717, MSL3P1, KAT6A, MORF4L2, ZNF679, ZSCAN26, ZNF711, ZNF677, UBE2V1, ZNF311, ZNF432, ZNF155, ZNF274, CREBL2, ZNF26, NPAS3, ZNF549, ZKSCAN8, ZNF548, ZNF667, ZKSCAN4, NKX2-5, ZNF268, PPARGC1A, KAT14, ZNF541, ZNF540, ZNF140, ESRRB, POU6F2, MLXIPL, BMP2, ZNF419, ZNF534, RBAK, MNAT1, ZNF773, SLC2A4RG, ZNF772, SETD5, ATF7IP2, HIF3A, ZNF45, AFF3, ZNF670-ZNF695, PQBP1, SCML2, HEY1, ZNF280A, ZNF528, ZNF404, ZNF525, ZIK1, NKX3-1, OLIG1, ZFX, GCFC2, ZNF879, ZNF114, ZNF112, ZNF230, ZNF350, ZNF471, ZNF470, ACVR1B, ZNF69, HIRA, ZNF229, ZNF502, ZNF589, ZNF225, ZNF224, ZNF223, ZNF343, ZNF222, ATF7IP, ZNF221, ZNF583, ZNF582, ZNF184, ZNF180, MEIS3, ZNF765-ZNF761, ZNF74, ZNF615, ZNF614, ZNF613, ZNF578, ZNF577, ZNF354A, ZNF852, ZNF850, ZNF695, ZFP28, ZNF354B, GZF1",1416,976,18585,1.57338627,0.00393598,9.86E-04,9.85E-04,
Molecular Function,8028,monocarboxylic acid transmembrane transporter activity,10,0.527148129,3.16E-06,"SLC16A1, SLC16A6, SLC6A13, SLC16A11, SLC6A12, SLC6A11, SLC16A10, SLC16A4, SLC16A14, SLC16A13",1449,18,18178,6.969557549,0.004681914,0.001565354,0.001562194,
Biological Process,7416,synapse assembly,19,1.001581444,6.44E-06,"ACHE, CLSTN3, PCDHB14, PCDHB13, PCDHB11, ZDHHC2, POU4F1, IGFN1, ADD2, PCDHB2, PCDHB16, PCDHB6, RAB29, PCDHB5, PCDHB4, PCDHB3, MAPT, SDK2, ADGRL3",1416,73,18585,3.41609589,0.029026451,0.005889904,0.005884756,
Cellular Component,5887,integral component of plasma membrane,155,8.170795994,7.34E-06,"NPFFR2, SCARB1, TUSC3, RXFP4, SLC4A3, ZDHHC2, SLC8A2, TM7SF2, TMEM266, HTR6, LAMP1, BSG, SLC16A6, SLC16A4, SEMA6B, KCNH2, SEMA6C, CHRNB1, KCNH3, SLC15A1, EPHA7, KIRREL2, KCNH5, SLC30A3, SCARA5, MUSK, EPHA8, SLC6A13, HLA-C, SLC6A12, SLC6A11, PCDHA11, CACNB2, BCAM, FOLH1, CD8A, RHCG, RHCE, CHRNA7, PSEN2, PCDH15, IL20RB, SLC26A10P, SLC1A6, FUT1, MCHR2, LRRC52, ADGRG3, EFNB3, TSPAN9, HRH2, CD19, TSPAN4, PCDHA4, PCDHA3, SLC38A3, SLC19A1, ASIC1, PCDHA6, MSR1, TRPV3, SLC16A11, SLC16A10, GRIN2B, SLC16A14, SLC16A13, SLC6A6, SLC6A8, PCDHB2, PRPH2, PTPRA, SLCO1A2, PCDHB6, PCDHB5, PCDHB4, CHRFAM7A, KLRD1, PCDHB3, GABRB3, LMBR1L, TENM2, FLT4, PCDHGB3, PCDHGB2, PTPRO, HTR2C, GRIK4, ADRA1D, GPRC6A, GABRR1, ATP7B, GRM7, GPER1, PCDHGA7, PCDHGA6, TMEM150A, PCDHGA5, PCDHGA4, GNRHR2, PCDHGA3, TRPC4, PCDHGA2, ATRN, PCDHGB1, TMBIM6, SLC29A1, CX3CR1, RAMP2, LTK, GUCY2D, SEMA3D, KCNA1, SLC43A1, MOSPD2, SEMA3G, OPRL1, ATP1A4, SLC3A1, ADCY2, KCNA5, ADCY1, KCNA6, ACVR1B, ADCY8, DLL1, SLC7A2, GLRA3, PRRG2, ADAM23, PDPN, TAS1R1, RHBG, CORIN, SLC35A1, GABBR1, SLC12A5, SLC16A1, SLC31A2, IL10RA, ECEL1, PCDH8, GABRA3, KCNJ15, PCDHB14, PCDHB13, PCDHB12, PCDHB11, ADGRD1, CD4, P2RX5, CLCN4, PCDHB16, TEK, F2RL3, ADGRL3",1515,1418,19595,1.413800407,0.005799359,0.00581622,0.005750126,
Molecular Function,981,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",143,7.538218239,8.17E-06,"ZNF331, ZNF175, PRDM4, ZNF292, RORC, SOX21, TPRXL, DACH1, ZSCAN31, SALL2, ZNF727, CREB3L1, ZNF605, ZNF84, ZNF723, FOXO3B, SOX7, HES7, ZNF165, NKX2-8, ZNF285, ZNF681, ZNF284, TSTD1, ZNF10, ZNF98, EBF4, MYT1, FOXP3, POU3F3, POU3F4, ZNF679, ZSCAN23, ZSCAN26, ZNF711, ZNF677, ZNF311, ZNF157, ZNF432, ZNF155, ZNF274, ZNF391, CREBL2, FOXO3, HOXB13, NPAS1, ZNF26, NPAS3, PGBD1, ZNF549, ZKSCAN8, ZNF548, ZSCAN12, ZKSCAN4, NKX2-5, ZSCAN16, ZNF540, EGR3, ZNF140, ESRRB, POU6F2, RAX2, MLXIPL, ZNF419, LHX1, LHX6, MKX, ZNF534, RBAK, ZNF773, ZNF772, CSRNP3, HIF3A, ZNF45, DMBX1, DBP, HEY1, ZNF280A, SIX5, ZNF528, SIX2, SIX3, ZIC1, ZNF404, ZNF525, CIC, ZIK1, NKX3-1, ZSCAN5A, ZHX3, TCF15, PEG3, HSFX1, FOXL2, OLIG1, KLF15, PAX1, ZNF879, ZNF114, FOXD4L1, ZNF232, ZNF230, ZNF471, ZNF470, SATB2, ZNF518B, FOXK1, ZNF69, DDN, GBX1, ZNF502, ZNF589, HDX, RXRG, ZNF223, ZNF343, ZNF222, ZNF221, ZNF583, ZNF582, ZNF184, ZNF580, ZNF182, ZNF180, ZIC4, MEIS3, POU4F1, VAX2, TBX3, ZNF765-ZNF761, KLF8, ZNF74, ZNF614, ZNF578, ZNF577, ZNF354A, ZNF852, ZNF354C, ZNF454, ZNF695, ZFP28, ZNF354B, GZF1",1449,1252,18178,1.432878685,0.012056073,0.003034364,0.003028238,
Biological Process,16339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,15,0.790722193,8.46E-06,"PCDHB14, PCDHB13, PCDHB11, CDH8, ARVCF, CDH3, PCDHB2, PCDHB16, PCDHB6, DSG1, PCDHB5, DCHS1, PCDHB4, PCDHB3, CDH18",1416,48,18585,4.1015625,0.03799965,0.006455306,0.006449663,
Biological Process,7268,chemical synaptic transmission,40,2.108592514,2.47E-05,"GABRB3, KCNA1, CHRNA7, CACNA1B, GRIK4, HTR2C, SLC1A6, LRP6, GABRR1, HTR6, GLRA3, GRM7, SV2B, HRH2, SLITRK5, KCNN1, SNCB, SYT5, MPP2, CHRNB1, DTNA, SLC12A5, PCDH8, GABRA3, PCDHB14, PCDHB13, PDYN, PCDHB11, SYN2, GRIN2B, CACNB2, PCDHB2, DLG4, PCDHB16, PCDHB6, PCDHB5, PCDHB4, CHRFAM7A, PCDHB3, SCN2B",1416,256,18585,2.05078125,0.106702073,0.016115584,0.016101497,
Cellular Component,43005,neuron projection,50,2.635740643,1.05E-04,"GABRB3, NRSN2, AHCYL2, TENM2, PRR7, PTPRO, GABRR1, PPP2R1A, CHRNB1, EPHA7, SLC30A3, EPHA8, SLC6A13, SLC6A12, SLC6A11, SNPH, RGS9BP, KCNQ1, MAPT, ARHGEF7, CX3CR1, RTN1, STAU1, SRC, CHRNA7, OPRL1, RASGRP2, CACNA1I, KLC3, GLRA3, SV2B, KCNN1, KCNN2, SLC17A7, MARK4, BBS2, MPP2, RIC3, SLC12A5, LGI3, GABRA3, SEPTIN3, POU4F1, GRIN2B, DLG4, ATP13A2, CHRFAM7A, RGS11, CDK5R2, CDK16",1515,365,19595,1.771779918,0.080092078,0.035612266,0.035207581,
Cellular Component,8021,synaptic vesicle,24,1.265155509,1.47E-04,"BRSK1, DDC, GABBR1, SVOP, SLC30A3, LGI3, PSEN2, SEPTIN5, SEPTIN6, SYPL2, SYN3, SYN2, MT3, TMEM230, SNAP91, NTF4, CLCN4, SV2B, LAMP1, DLG4, NTF3, DMXL2, RABAC1, CDK16",1515,130,19595,2.387814166,0.109866317,0.035612266,0.035207581,
Biological Process,42391,regulation of membrane potential,20,1.054296257,1.72E-04,"GABRB3, KCNH2, POPDC3, CHRNB1, KCNH3, KCNH5, ACTN2, CHRNA7, KCNA1, GABRA3, ATP1A4, KCNA5, SLC1A6, GABRR1, TAFA4, GLRA3, RANGRF, CHRFAM7A, BVES, ASIC1",1416,100,18585,2.625,0.545395544,0.098510932,0.098424821,
Cellular Component,45211,postsynaptic membrane,32,1.686874012,1.84E-04,"GABRB3, TENM2, TAMALIN, DGKB, CLSTN3, KCNA1, ZC4H2, KCNC3, CHRNA7, GRIK4, DDN, GABRR1, GLRA3, GRM7, LRRTM4, CHRNB1, GABBR1, MAGEE1, MUSK, IQSEC3, PCDH8, ATP6AP2, GABRA3, SLC6A11, PCDHB13, GRIN2B, SLC6A6, DLG4, IL1RAPL1, CHRFAM7A, ITGA5, DBN1",1515,202,19595,2.048949449,0.135430913,0.035612266,0.035207581,
Cellular Component,44224,juxtaparanode region of axon,7,0.36900369,2.25E-04,"MPP2, SPTBN4, CNTNAP2, DLG4, LGI3, KCNA1, KCNAB1",1515,13,19595,6.964457984,0.16312566,0.035612266,0.035207581,
Biological Process,34765,regulation of ion transmembrane transport,24,1.265155509,2.63E-04,"KCNH2, KCNH3, GPR89A, KCNH5, CLIC3, KCNJ12, KCNC3, KCNA1, CACNA1B, CACNA2D3, KCNJ15, CACNA2D2, CACNA1D, KCNAB1, KCNA5, KCNA6, CACNA1F, GPR89B, CACNG6, TMEM37, CACNA1I, CACNB2, CACNG8, KCNQ1",1416,137,18585,2.299270073,0.700423674,0.133884891,0.133767859,
Cellular Component,16324,apical plasma membrane,52,2.741170269,3.33E-04,"CNTFR, SLC46A1, SLC44A4, SPEF1, MTCL1, PTPRO, GM2A, ABCC4, SLC15A1, IGFBP2, CYP4A11, ATP6AP2, PDZK1, ATP1B2, ECRG4, SLC9A2, KCNQ1, DSG1, SLC29A4, RHCG, SLC29A1, ATP6V1B1, KCNA1, CHRNA7, SLC43A1, SLC5A11, PSEN2, SLC5A12, SLC3A1, STC1, ADCY8, SLC5A2, DLL1, PKHD1, DUOX1, PDPN, OTOG, SLC38A3, SLC19A1, MPP3, SLC14A2, SLC16A1, IL10RA, SLC12A1, SLC4A11, SLC6A6, SLC6A8, SLCO1A2, GNAS, RAB17, TEK, PFKM",1515,403,19595,1.668902374,0.231847988,0.043953953,0.043454476,
Biological Process,6816,calcium ion transport,18,0.948866632,3.99E-04,"RAMP2, PRKCB, TRPC4, CHRNA7, PSEN2, CACNA1B, ATP2A3, CACNA2D3, ITPR1, CACNA1D, CACNA1F, CORO1A, SLC8A2, CACNG6, PPP3CA, CACNG8, CHRFAM7A, EFHB",1416,90,18585,2.625,0.839066832,0.162845259,0.162702912,
Cellular Component,43025,neuronal cell body,49,2.58302583,4.04E-04,"CNTNAP2, NRSN2, SLC8A2, PPP2R1A, RACK1, EPHA7, KREMEN1, GFRA1, PDYN, OLFM1, GAL, KCNQ1, ANG, MAPT, ARHGEF7, PVALB, SPTBN4, CALCA, DDC, RTN1, PDE1C, STAU1, PDE1B, SRC, KCNA1, ZC4H2, CACNA1B, PSEN2, RAP1GAP, LRP6, BRINP1, SLC38A7, KCNN1, KCNN2, APOE, SNCB, VPS16, SYT5, RIC3, GABBR1, SLC12A5, TXNRD2, KLHL1, LSM1, MAGOHB, TUBB4A, SLC6A6, ATP13A2, RAB17",1515,376,19595,1.685547012,0.274079969,0.045750094,0.045230206,
Biological Process,7155,cell adhesion,66,3.479177649,4.32E-04,"ACHE, CNTNAP2, PCDHGB3, PCDHGB2, CDH8, CDH3, IBSP, BSG, CCN5, DGCR6L, EMILIN1, SVEP1, DGCR6, PCDHGA7, PCDHGA6, PCDHGA5, KIRREL2, MYBPC2, PCDHGA4, PCDHGA3, ACTN2, EPHA8, PCDHGA2, OLFM4, PCDHA11, CLDN5, BCAN, BCAM, COL6A2, COL6A1, PCDHGB1, ITGA5, CNTNAP5, DSC2, CX3CR1, SRC, PCDH15, ARVCF, EFS, ADAM23, PCDHA4, PCDHA3, PCDHA6, COL28A1, CGREF1, RNASE10, MCAM, PCDH8, PCDHB14, PCDHB13, PCDHB12, PARVB, PCDHB11, SORBS3, FERMT1, CD4, PCDHB2, PRPH2, PCDHB16, PCDHB6, ACKR3, PCDHB5, PCDHB4, PCDHB3, NECTIN2, ADA",1416,560,18585,1.546875,0.861636747,0.162845259,0.162702912,
Biological Process,1902991,regulation of amyloid precursor protein catabolic process,5,0.263574064,4.43E-04,"FKBP1A, FKBP1C, CHRNA7, CHRFAM7A, APOE",1416,6,18585,10.9375,0.868407536,0.162845259,0.162702912,
Biological Process,2000117,negative regulation of cysteine-type endopeptidase activity,6,0.316288877,4.63E-04,"CST3, CST2, PCID2, CST1, MT3, CST4",1416,10,18585,7.875,0.879720965,0.162845259,0.162702912,
Molecular Function,5332,gamma-aminobutyric acid,sodium symporter activity,5,0.263574064,5.28E-04,"SLC6A6, SLC6A8, SLC6A13, SLC6A12, SLC6A11",1449,6,18178,10.45433632,0.543331071,0.156823491,0.156506889
Biological Process,7399,nervous system development,52,2.741170269,5.29E-04,"ACHE, CNTFR, NRSN2, PCDHGB3, PCDHGB2, GPER1, SEMA6B, PCDHGA7, PCDHGA6, PCDHGA5, ADGRV1, PCDHGA4, PCDHGA3, PCDHGA2, NAV1, GFRA1, MYT1, PCDHA11, OLFM1, DOK4, NRG4, PCDHGB1, ARHGEF7, BEX1, ZC4H2, ACVR1B, EFNB3, NTF3, ST8SIA4, PCDHA4, PCDHA3, MARK4, PCDHA6, GSS, PCDHB13, PCDHB12, PCDHB11, FGF17, NELL1, P2RX5, PCDHB2, DLG4, LHX1, FGF19, PCDHB6, PCDHB5, PCDHB4, PCDHB3, MDGA2, FGF11, SMIM45, SCN2B",1416,417,18585,1.636690647,0.911445693,0.173069139,0.172917855,
Cellular Component,98978,glutamatergic synapse,53,2.793885082,6.54E-04,"PRR7, CLSTN3, DGKB, PTPRO, ELAVL4, CDH8, PPP3CA, GABRR1, PPP2R1A, ERC2, PPFIA3, APPL1, SRGN, EPHA7, SLC30A3, ACTN2, FBXO2, WNT5A, SYN3, CPT1C, SYN2, BCAN, IL1RAPL1, ITPKA, ITGA5, DBN1, NAPA, NAPB, TAMALIN, STAU1, SRC, KCNA1, ADCY1, SLC1A6, ADCY8, CORO1A, ARHGAP22, PORCN, EFNB3, SLITRK4, ADAM23, PLCG1, APOE, LRRC4B, MPP2, ARFGEF2, GABBR1, HOMER2, PCDH8, AP2B1, DLG4, RAB17, ADGRL3",1515,425,19595,1.612945059,0.404185865,0.064707159,0.06397185,
Cellular Component,16323,basolateral plasma membrane,36,1.897733263,8.58E-04,"SLC46A1, NDRG4, SPEF1, MLC1, SLC26A10P, ADCY8, LIN7B, SLC8A2, ATP7B, GM2A, PDPN, BSG, SLC16A6, SLC38A3, RHBG, SLC19A1, CA11, MPP2, ABCC4, PIANP, SLC16A1, TRPC4, SLC6A13, SLC6A12, SLC4A11, SLC16A10, SLC6A6, DLG4, KCNQ1, SLC29A4, RAB17, TEK, ALPK2, RHCG, SLC29A1, ATP6V1B1",1515,259,19595,1.797775144,0.493180364,0.075478733,0.07462102,
Molecular Function,15293,symporter activity,16,0.843437006,9.75E-04,"SLC15A1, SLC46A1, SLC16A1, SLC6A13, SLC6A12, SLC16A11, SLC4A11, SLC5A12, SLC1A6, SLC16A14, SLC16A13, SLC6A6, SLC6A8, SLC16A6, SLC38A3, SLC16A4",1449,77,18178,2.606795551,0.765056764,0.241446682,0.24095924,
Cellular Component,30672,synaptic vesicle membrane,21,1.10701107,0.001055003,"SYT5, FER1L5, SVOP, FER1L4, ATP6V1G2, SLC30A3, STX16, ATP6AP2, SYPL2, SYN3, SYN2, TMEM163, SYNGR4, SCAMP5, SYNGR1, SV2B, DMXL2, SLC17A7, CALM3, ATP6V0E2, BORCS5",1515,122,19595,2.226343126,0.566560568,0.083556214,0.082606712,
Cellular Component,31012,extracellular matrix,35,1.84501845,0.001456816,"FBN2, PAPLN, ADAMTS12, ELFN2, FBLN2, POMZP3, ADAMTS2, EFEMP2, WNT11, LRRTM4, CCN5, OTOG, DGCR6L, DGCR6, APOE, COL28A1, LINGO3, LRRC24, COL24A1, RARRES2, WNT5A, MMP9, ADAMTS20, OTOGL, BCAN, CRISPLD2, RTN4RL1, COL6A2, COL5A3, COL6A1, MMP17, COL9A1, CD248, MATN3, EMID1",1515,257,19595,1.76143879,0.684828909,0.104890763,0.103698822,
