Category,Number,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,
Molecular Function,46872,metal ion binding,251,13.23141803,0.00196978,"CPNE8, ZNF175, ACSM3, ZNF292, XYLT1, RNF115, ZSCAN31, ZNF606, ZNF727, ZC3H12B, ZNF605, ZNF723, ZNF165, ZNF285, ZNF284, MUSK, CACNA2D3, CACNA2D2, ZNF10, EBF4, GBGT1, ZNF717, RNF128, TRIM17, PDE12, PNLDC1, ANTXRL, ZNF835, CDIP1, ZSCAN23, NHLRC1, ZSCAN26, ZNF711, GTSF1, ZNF157, ZNF155, BEX3, ZNF274, PDE1C, PDE1B, ZNF391, KLK4, PRDM12, ADAMTS12, GNS, ZNF26, RNF212, DPH1, ZSCAN12, ARSG, ZNF268, ZSCAN16, RTEL1-TNFRSF6B, FER1L5, EGR3, FER1L4, ZNF140, IRF2BP1, CENPVL3, RNF225, TCN2, COL9A1, DZIP1, ITPA, SLC2A4RG, ZNF134, MOCS3, ASH2L, ZCCHC18, ZNF45, PHF7, AIFM3, ZNF280A, ZIK1, ZSCAN5A, ZHX3, AMPD3, ZFX, FAHD2B, ZNF114, ZNF112, ZNF232, ZNF594, ZNF230, ZNF471, ZNF350, ZNF470, ZNF518B, ADCY2, ALOX12B, ADCY1, CRIP3, ADCY8, ZNF69, SCEL, GLRA3, ZNF229, MGAT1, ZNF589, ZNF225, RNF130, ZNF224, ZNF223, ZNF343, ZNF222, ZNF221, ZNF583, CENPV, ZNF582, ZNF581, BRF2, ZNF580, NUBPL, GSS, ECEL1, ELP3, ZNF765-ZNF761, ZNF74, YPEL1, NUCB1, CIAPIN1, ZNF578, ZNF577, ZNF354A, YPEL4, ZNF354C, ZNF454, ZNF695, ZFP28, ZNF354B, GZF1, ZNF331, GALNT13, PRDM9, CHPF, PRDM4, F13A1, HR, SLC8A2, CNDP2, NUDT11, NUDT10, TUBB6, SALL2, ZNF84, ENPP2, PAPOLA, NUDT17, ZNF445, ZNF200, RAG1, ZNF681, SLC30A3, KMT5C, ZNF98, LIG4, MAT1A, FOXP3, FOLH1, KAT6A, ZNF679, ZNF677, ZNF311, ZNF432, GNAZ, ZC4H2, CACNA1D, DTX3, CACNA1F, SLC1A6, ZNF549, ZKSCAN8, ZNF548, ZNF667, SMYD3, ZKSCAN4, ZNF541, ZNF540, ZNF660, MT3, CNOT6, MAP3K15, GNAL, CPS1, ZFP62, ZNF419, LHX1, GNAS, MKRN3, LHX6, ACO1, ZNF534, MNAT1, ZNF773, ZNF772, PLEKHF1, PDE3B, POMT1, ATP2A3, CGAS, DDX41, ECE2, ATP7B, ZNF528, ZIC1, ME1, UQCRFS1, ZNF404, ZNF525, GALNT8, KDM6B, PEG3, RNF208, KLF15, ADAMTS20, PPM1A, RASA3, ZNF879, ITGA5, ZNF750, RNFT2, TYRP1, ATP1A4, PPM1K, ACVR1B, RMND5B, PDE11A, NFS1, PDE6B, ZNF502, TNNI3, ZNF501, PDLIM7, SLC12A5, ZNF184, ZNF182, B3GAT2, ZNF180, DDHD2, ZIC4, KLF8, MGAT4B, ERCC2, ZNF615, ZNF614, ZNF613, TBKBP1, ATP13A2, ZNF852, PFKM, ZNF850",1449,2655,18178,1.186006064,0.946496515,0.418156221,0.41731203,
Biological Process,50804,modulation of synaptic transmission,16,0.843437006,0.001985145,"SRGN, CX3CR1, EPHA7, DGKB, PCDH8, CACNA1B, GRIK4, NTF4, MAPK9, SLC6A6, PPP3CA, GABRR1, PTPRA, GPER1, NTF3, PLCG1",1416,86,18585,2.441860465,0.999887779,0.605601668,0.605072296,
Cellular Component,45202,synapse,61,3.215603585,0.002361996,"GABRB3, ACHE, TENM2, CLSTN3, HTR2C, SLC8A2, GABRR1, HTR6, FRRS1L, PHACTR1, KIF1A, ANXA9, DACT1, CHRNB1, ADGRV1, MUSK, MYRIP, PDYN, IGFN1, SYN2, OLFM1, BCAN, PSMA3, OLFM2, ITGA5, PVALB, KCNA1, CHRNA7, CACNA1B, PCDH15, USH1C, SLC1A6, RASGRP2, LIN7B, CORO1C, LRP6, MAPK8, GLRA3, HRH2, SLITRK5, KCNN1, ASIC1, RIC3, SLC16A1, EGR3, DTNA, SLC12A5, GABRA3, MTHFR, PCDHB14, PCDHB11, PCDHB2, DLG4, PCDHB16, PCDHB6, PCDHB5, PCDHB4, CHRFAM7A, PCDHB3, SDK2, SCN2B",1515,536,19595,1.471965667,0.846324801,0.155891769,0.154120271,
Biological Process,6516,glycoprotein catabolic process,6,0.316288877,0.002839891,"FBXO27, FBXO2, FBXO17, FBXO6, NCCRP1, FBXO44",1416,14,18585,5.625,0.999997777,0.812208844,0.811498871,
Cellular Component,16021,integral component of membrane,447,23.56352135,0.003153052,"TMEM94, XYLT1, EMC10, MRGPRE, SLC4A3, SCAMP5, TMEM88, CREB3L1, MS4A15, MPV17, PRSS8, VSTM5, BVES, CACNA2D3, CACNA2D2, UNC5D, EML2, GPR162, CLDN5, BCAM, RNF128, ORAI3, RPN2, FAXDC2, IL20RB, SLC5A2, LDHC, PCNX4, FAM171A2, CHST11, AGMO, PCDHA4, PCDHA3, CFAP65, ABCA2, FZD2, MCAM, TMEM190, ABCA9, SLC16A11, SLC16A10, ERLIN2, GRIN2B, SLC16A14, SLC16A13, SLC6A6, RNF225, SLC6A8, PCDHB2, GPR180, PCDHB6, PCDHB5, GJB7, DCHS1, CHRFAM7A, PCDHB4, PCDHB3, GABRB3, HRK, ACHE, NRSN2, KCNC3, JPH3, B3GALT1, C19ORF12, C5ORF60, C19ORF18, EMD, STUM, ELAPOR2, TMEM37, FAM234B, VN1R1, SLC29A4, PLIN1, ERGIC3, SLC29A1, TP53I13, KCNA1, NDUFA4L2, ADCY2, KCNA5, ADCY1, KCNA6, ADCY8, SLC7A2, APOLD1, EXTL1, GLRA3, SLC17A9, ADAM23, SLC17A7, RABAC1, RNF130, RHBG, RPRM, RIC3, LRRC24, SLC16A1, SMAGP, IL10RA, ECEL1, ADAM33, FIG4, JKAMP, CRLF3, ADGRL3, CHPF, CLSTN3, TUSC3, CDH8, SLC8A2, TM7SF2, POTEM, CDH3, HEPHL1, POTEH, APMAP, LAMP1, FCGRT, FADS6, POTED, PAPOLA, SLC16A6, POTEG, SLC16A4, POTEC, SEMA6B, KCNH2, KCNH3, SLC15A1, KCNH5, TMEM178B, FAM118A, SYPL2, SLC9B1, SLC9A2, DISP3, SLC25A53, CLEC4F, DSC1, DSC2, RHCE, OR8G3P, ABHD1, ITPR1, GLT8D2, ENTREP2, TMEM25, PORCN, IGSF23, SLC38A7, UGT3A2, SMYD3, SLC38A3, LRRC4B, OSBPL8, SLC14A2, TNFRSF10C, SLC4A11, PTPRA, LRFN1, SLCO1A2, UST, SERINC3, SERINC2, DPP10, LMBR1L, CNTNAP2, GPR89A, POMT1, ADRA1D, ECE2, ELFN2, ATRAID, GPR89B, NKPD1, ATP7B, ADGRV1, PIANP, GNRHR2, TRPC4, SMIM17, KCNAB1, PPM1A, SLC25A18, SNPH, NRG4, IL1RAPL1, CNGB3, DSG1, SLC25A10, TMBIM6, ITGA5, C1GALT1C1L, OR56A3, CNTNAP5, CX3CR1, RNFT2, SMIM24, CLEC2L, SEMA3D, LRTM2, TYRP1, SLC5A11, SLC5A12, LRP6, CACNG6, CACNG8, SLITRK4, SLITRK5, SLC25A21, ATP9A, SLC35A1, LINGO3, SLC12A5, KCNJ12, SLC12A1, PCDH8, KCNJ15, TAFA5, MGAT4B, CD248, MDGA2, UNC79, NECTIN2, SMIM44, NPFFR2, SLC46A1, TAS2R20, PLEKHB1, MLC1, KLHDC7A, ZDHHC8, ZDHHC2, C3ORF18, ADGRA2, BSG, ARL10, EPHA7, ST6GAL2, MUSK, ENTPD3, PAQR5, SLC6A13, HLA-C, SLC6A12, SLC6A11, CPT1C, GBGT1, ZPBP, CYP39A1, FNDC4, ANTXRL, PNLDC1, KCNQ1, MXRA7, OR8G5, MAOA, GIPR, PCDH15, PKHD1, NKAIN1, SYNGR1, TSPAN9, CD19, ST8SIA4, TSPAN4, KCNN1, KCNN2, VAT1, MSR1, FER1L5, TMEM86A, FER1L4, DTNA, TMEM74B, TAS2R31, SLC35E3, GREB1, TAS2R38, LPAR5, GLIPR1L2, ITM2C, TMEM151A, TMEM151B, SLC44A4, PTPRO, AATK, GRIK4, NAT14, HERPUD1, KCNT1, COX8C, TMEM150A, KREMEN1, NBPF10, CYP7B1, IL17RD, ANO2, ANO3, SLC22A23, MIR17HG, B3GNT4, MICU3, POPDC3, RAMP2, TOMM40, STX16, TMPRSS6, AMIGO1, SLC43A1, DUOX1, PDPN, MGAT1, DNAJC5G, MARCHF9, LY6G6C, ATP6V0E2, CORIN, GABBR1, SLC31A2, TMEM176B, TMEM176A, PCDHB14, PCDHB13, PCDHB11, FKBP1A, DPY19L2, KBTBD6, FKBP1C, PCDHB16, PNPLA3, MEGF8, F2RL3, SCARB1, SYS1, GALNT13, DENND5B, GIMAP2, GXYLT2, COX6A2, MARCHF11, TMEM145, FRRS1L, ENPP2, CHRNB1, KIRREL2, SCARA5, SLC30A3, WNT5A, ADAM11, TOMM34, KMO, TMEM254, TMEM256, FOLH1, RGS9BP, CD8A, ELMO2, RTN2, FBN2, DIPK1B, NDRG4, RTN1, CHRNA7, PSEN2, CACNA1D, SLC1A6, FUT2, CACNA1F, TMEM121, ADGRG3, HRH2, KASH5, ASIC1, SYT5, SYT3, MPIG6B, WSCD1, WSCD2, TRPV3, COX7B2, TMEM230, MANBAL, DNAJC18, MAVS, PRPH2, GNAS, KLRD1, ULBP2, SDK2, PRR7, PDE3B, MLNR, ATP2A3, TMEM100, ARMH4, GRM7, LRRTM4, GPER1, CFAP47, UQCRFS1, USP30, GALNT8, ABCC4, PCDHGA7, PCDHGA6, SVOP, PCDHGA3, CYP4A11, ATP6AP2, ABHD14A, POMGNT2, SYNGR4, CKAP4, TRDN, IGDCC4, TMEM215, PCDHGB1, B4GALT7, CDH18, LTK, CLEC12A, CD163L1, MSLNL, ATP1A4, OPRL1, SLC3A1, DLL1, DLL3, PRRG3, SV2B, PRRG2, KLRG2, PDE6B, CYYR1, TAS1R1, B3GAT2, PEDS1, SGPP1, RPIA, ADGRD1, CD4, CLCN4, ACKR3, ATP13A2",1515,5175,19595,1.117197111,0.918010353,0.192093621,0.189910739,
Biological Process,44267,cellular protein metabolic process,7,0.36900369,0.003860725,"FBXO27, FBXO2, FBXO17, KLK3, FBXO6, ZDHHC2, FBXO44",1416,21,18585,4.375,0.99999998,1,0.999344262,
Biological Process,6811,ion transport,21,1.10701107,0.003963056,"CHRNB1, SLC15A1, TOMM40, SLC12A5, CHRNA7, SLC12A1, ATP1A4, MLC1, SLC5A12, SLC1A6, SLC8A2, SLC22A23, SLC9A2, SLC25A18, SLCO1A2, KCNN1, KCNN2, SLC17A7, CHRFAM7A, SLC25A10, ATP6V1B1",1416,138,18585,1.997282609,0.999999987,1,0.999344262,
Cellular Component,5901,caveola,14,0.73800738,0.004617278,"SCARB1, TRPC4, SRC, MLC1, AKAP6, KCNA5, ADCY8, TFPI, HDAC6, LRP6, LIPE, DLC1, RANGRF, BVES",1515,75,19595,2.414345435,0.974404855,0.261206005,0.258237755,
Molecular Function,5102,receptor binding,48,2.530311017,0.004874929,"BEX3, CNTFR, CALCA, BEX2, TENM2, BEX1, SRC, NXPH4, LHB, SEMA3G, KCNA5, LRP6, PCSK1N, WNT11, THPO, PDPN, SIX3, NTF3, RACK1, APOE, PPARGC1A, LRRC4B, WNT10B, SRMS, DMTN, PLA2G2C, RARRES2, MST1, IGFBP2, WNT5A, HLA-C, VWDE, GFRA1, PDZK1, EML2, TRDN, FGR, BMP3, BMP2, ANGPTL6, NRG4, BANK1, SNX17, IL1RAPL1, STRAP, REN, ANG, BEX5",1449,401,18178,1.501670255,0.99929476,0.90551798,0.903689882,
Cellular Component,5891,voltage-gated calcium channel complex,9,0.474433316,0.006369907,"CACNG6, CACNA1I, CACNB2, CACNG8, CACNA1B, CACNA2D3, CACNA2D2, CACNA1D, CACNA1F",1515,37,19595,3.146106503,0.993661434,0.311944938,0.30840011,
Cellular Component,30425,dendrite,51,2.688455456,0.006468087,"TMEM151A, UCN, CNTNAP2, TENM2, PRR7, CLSTN3, ELAVL4, HTR2C, SLC8A2, RBM3, TMEM266, HTR6, GRM7, PPP2R1A, GPER1, RACK1, KIF1A, VSTM5, EPHA7, EPHA8, CPT1C, PDYN, IL1RAPL1, MAPT, DBN1, GNAZ, URI1, RTN1, STAU1, KCNA1, AMIGO1, ADCY2, ADCY8, RAP1GAP, HDAC6, NTF4, GLRA3, BRINP1, HRH2, NTF3, APOE, MARK4, MAGEE1, TXNRD2, HOMER2, PCDH8, KLHL1, LSM1, SLC6A6, GNB3, RAB17",1515,452,19595,1.459366512,0.994138584,0.311944938,0.30840011,
Cellular Component,98686,hippocampal mossy fiber to CA3 synapse,10,0.527148129,0.006695788,"CALCA, EPHA7, EFNB3, SLC30A3, GPER1, GRIK4, ADCY1, ADCY8, PDYN, C1QL2",1515,45,19595,2.874220755,0.995111637,0.311944938,0.30840011,
Biological Process,6707,cholesterol catabolic process,5,0.263574064,0.007149145,"CYP39A1, SCARB1, SNX17, APOE, MT3",1416,11,18585,5.965909091,1,1,0.999344262,
Biological Process,35609,C-terminal protein deglutamylation,4,0.210859251,0.007393051,"AGBL5, AGBL4, FOLH1, AGBL1",1416,6,18585,8.75,1,1,0.999344262,
Biological Process,32148,activation of protein kinase B activity,8,0.421718503,0.007585745,"OSBPL8, PINK1, SRC, WNT5A, NTF3, ANG, IGF1, MT3",1416,31,18585,3.387096774,1,1,0.999344262,
Biological Process,70588,calcium ion transmembrane transport,18,0.948866632,0.007980885,"TRPC4, CHRNA7, ATP2A3, CACNA2D3, CACNA2D2, TRPV3, CACNA1D, SLC8A2, FKBP1A, CACNG6, TMEM37, CACNB2, P2RX5, CACNG8, FKBP1C, ORAI3, ANXA9, ASIC1",1416,118,18585,2.002118644,1,1,0.999344262,
Biological Process,7420,brain development,32,1.686874012,0.009085719,"NAPA, CX3CR1, CNTNAP2, NDRG4, RTN1, IFT172, AMIGO1, AATK, VCX, ADCY1, UBE2L3, ACAT1, DMBX1, PPP3CA, SIX3, ZIC1, SLC17A7, HMGCS2, SLC38A3, CIC, VCX3A, EPHA7, CNTN5, NCOA6, SLC6A11, MEIS3, VAX2, MT3, GRIN2B, POU3F4, CDK5R2, ADGRL3",1416,261,18585,1.609195402,1,1,0.999344262,
Cellular Component,8076,voltage-gated potassium channel complex,14,0.73800738,0.009871055,"KCNH2, DPP10, CNTNAP2, KCNC3, AMIGO1, KCNA1, KCNAB1, KCNA5, KCNA6, LRRC52, DLG4, KCNQ1, KCNN1, CALM3",1515,82,19595,2.208242775,0.999612857,0.413806,0.409103659,
Biological Process,65008,regulation of biological quality,5,0.263574064,0.01008485,"ATP7B, ADCY2, ADCY1, ADCY8, SLC29A1",1416,12,18585,5.46875,1,1,0.999344262,
Cellular Component,98685,Schaffer collateral - CA1 synapse,16,0.843437006,0.010611979,"SRGN, MPP2, TAMALIN, GABBR1, EPHA7, DGKB, PCDH8, WNT5A, ITPR1, ADCY1, ADCY8, SYN2, MAPK9, PPP3CA, PTPRA, PLCG1",1515,101,19595,2.048949449,0.999786014,0.413806,0.409103659,
Cellular Component,34362,low-density lipoprotein particle,5,0.263574064,0.010617725,"MSR1, APOO, APOBR, APOE, PLA2G7",1515,12,19595,5.389163916,0.999786996,0.413806,0.409103659,
Cellular Component,43204,perikaryon,22,1.159725883,0.010972129,"MPP2, UCN, CNTNAP2, SLC12A5, KCNC3, AMIGO1, KCNA1, ELAVL4, ADAM11, CACNA1F, HDAC6, DDN, SLC8A2, TMEM100, TMEM266, OLFM1, PDE11A, GLRA3, RTN4RL1, RACK1, NDN, TOP1",1515,159,19595,1.78960915,0.999839618,0.413806,0.409103659,
Biological Process,1905515,non-motile cilium assembly,11,0.579862941,0.011484062,"BBS2, IFT52, CLCN4, IFT172, KCNQ1, PCDH15, CEP250, TOGARAM1, FUZ, GFY, CEP290",1416,58,18585,2.489224138,1,1,0.999344262,
Biological Process,2000394,positive regulation of lamellipodium morphogenesis,4,0.210859251,0.012209439,"SRC, ENPP2, ARHGEF7, CORO1C",1416,7,18585,7.5,1,1,0.999344262,
Biological Process,70201,regulation of establishment of protein localization,4,0.210859251,0.012209439,"EPB41L5, KIAA0586, CEP290, HDAC6",1416,7,18585,7.5,1,1,0.999344262,
Molecular Function,5245,voltage-gated calcium channel activity,9,0.474433316,0.012288686,"CACNG6, CACNA1I, CACNB2, CACNG8, CACNA1B, CACNA2D3, CACNA2D2, CACNA1D, CACNA1F",1449,40,18178,2.822670807,0.999999989,1,0.998653199,
Molecular Function,15171,amino acid transmembrane transporter activity,9,0.474433316,0.014230157,"SLC6A6, SLC43A1, SLC38A7, SLC6A13, SLC3A1, SLC6A12, SLC16A10, SLC38A3, SLC7A2",1449,41,18178,2.753825178,0.999999999,1,0.998653199,
Cellular Component,31253,cell projection membrane,5,0.263574064,0.014412461,"NDRG4, DMTN, FSCN1, ATP1B2, BVES",1515,13,19595,4.974612846,0.999989847,0.502557799,0.496846915,
Biological Process,6813,potassium ion transport,13,0.685292567,0.014506777,"KCNH3, CDKN1B, KCNJ12, KCNA1, ATP1A4, KCNJ15, KCNAB1, KCNA5, ATP1B2, KCNA6, KCNN1, KCNN2, SLC17A7",1416,78,18585,2.1875,1,1,0.999344262,
Cellular Component,16328,lateral plasma membrane,13,0.685292567,0.014658806,"SLC16A1, MTCL1, PTPRO, ATP1B2, MPP7, CORO1C, CLDN5, PPP2R1A, KCNQ1, BSG, DSG1, BVES, ATP6V1B1",1515,77,19595,2.183661223,0.999991671,0.502557799,0.496846915,
Biological Process,36342,post-anal tail morphogenesis,6,0.316288877,0.015002061,"HES7, CHST11, TCF15, WNT5A, DCHS1, PRICKLE1",1416,20,18585,3.9375,1,1,0.999344262,
Cellular Component,2080,acrosomal membrane,7,0.36900369,0.015229024,"HYAL3, BSG, RND2, CFAP65, ACRBP, ZPBP, SERPINA5",1515,27,19595,3.353257548,0.999994734,0.502557799,0.496846915,
Molecular Function,15297,antiporter activity,11,0.579862941,0.015415982,"SLC35A1, SLC44A4, CLCN4, SLC30A3, SLC35E3, SLC25A21, SLC26A10P, SLC25A10, SLC38A3, SLC19A1, SLC8A2",1449,58,18178,2.37926275,1,1,0.998653199,
Biological Process,7613,memory,14,0.73800738,0.015513565,"CX3CR1, MUSK, CHRNA7, ADCY8, SLC8A2, NTF4, JPH3, TAFA2, NTF3, CHRFAM7A, MAPT, ITGA5, CIC, ASIC1",1416,88,18585,2.088068182,1,1,0.999344262,
Biological Process,42110,T cell activation,11,0.579862941,0.017993442,"CUL4A, FKBP1A, PPP3CA, CD4, CD8A, FKBP1C, CHRNA7, RAB29, SLA2, FOXP3, ADA",1416,62,18585,2.328629032,1,1,0.999344262,
Molecular Function,5369,taurine,sodium symporter activity,3,0.158144439,0.018014535,"SLC6A6, SLC6A13, SLC6A11",1449,3,18178,12.54520359,1,1,0.998653199
Biological Process,7605,sensory perception of sound,21,1.10701107,0.018161614,"TUB, SPTBN4, UCN, CDKN1B, ADGRV1, ANKRD24, CNTN5, HOMER2, TIMM9, PCDH15, USH1C, CACNA1D, EML2, OTOGL, POU3F4, GRM7, KCNQ1, OTOG, ZNF354A, PDZD7, ATP6V1B1",1416,159,18585,1.733490566,1,1,0.999344262,
Biological Process,15734,taurine transport,4,0.210859251,0.018439893,"SLC6A6, SLC16A6, SLC6A13, SLC6A11",1416,8,18585,6.5625,1,1,0.999344262,
Biological Process,34472,snRNA 3'-end processing,6,0.316288877,0.018483728,"CT45A10, SAGE1, CT45A3, CT45A5, INTS9, CT45A1",1416,21,18585,3.75,1,1,0.999344262,
Biological Process,45494,photoreceptor cell maintenance,9,0.474433316,0.019013559,"BBS2, TUB, ADGRV1, USP45, ESRRB, BSG, PCDH15, USH1C, ATP1B2",1416,45,18585,2.625,1,1,0.999344262,
Cellular Component,42734,presynaptic membrane,18,0.948866632,0.021046462,"GABBR1, CNTN5, KCNC3, CHRNA7, KCNA1, PCDH8, PSEN2, ADAM11, GRIK4, SLC6A11, SLC1A6, ADCY8, GABRR1, EFNB3, GPER1, ADAM23, ERC2, LRRC4B",1515,129,19595,1.804743265,0.999999952,0.666751912,0.659175186,
Biological Process,6869,lipid transport,14,0.73800738,0.021827918,"OSBPL8, ABCA2, SCARB1, ABCA9, APOBR, APOLD1, SERPINA5, APOO, GM2A, APOC1, SLC25A21, SLC25A10, APOE, PLTP",1416,92,18585,1.997282609,1,1,0.999344262,
Biological Process,55075,potassium ion homeostasis,6,0.316288877,0.022457944,"KCNH2, SLC12A5, KCNQ1, SLC12A1, KCNA5, ATP6V1B1",1416,22,18585,3.579545455,1,1,0.999344262,
Biological Process,90090,negative regulation of canonical Wnt signaling pathway,21,1.10701107,0.023152491,"LMBR1L, DRAXIN, PTPRO, WNT5A, IGFBP2, KREMEN1, FUZ, PRICKLE1, FOXO3, MAD2L2, FERMT1, BMP2, PSMA3, WNT11, TMEM88, HECW1, SOSTDC1, APOE, NKX2-5, EMD, DACT1",1416,163,18585,1.69095092,1,1,0.999344262,
Biological Process,97435,supramolecular fiber organization,5,0.263574064,0.023156039,"FKBP1A, CST3, FKBP1C, MAPT, B4GALT7",1416,15,18585,4.375,1,1,0.999344262,
Biological Process,7269,neurotransmitter secretion,7,0.36900369,0.023509626,"BRSK1, SNPH, SYN3, LIN7B, SYN2, PPFIA3, ASIC1",1416,30,18585,3.0625,1,1,0.999344262,
Cellular Component,98992,neuronal dense core vesicle,6,0.316288877,0.023783499,"CHGA, CALCA, DMXL2, KIF1A, PDYN, PLCB2",1515,22,19595,3.527452745,0.999999995,0.716718883,0.70857435,
Biological Process,5975,carbohydrate metabolic process,22,1.159725883,0.023977056,"SLC35A1, PARG, B3GAT2, PGGHG, POMT1, MPI, SLC3A1, NPL, PYGL, SLC5A2, FUT2, PHKA2, FUT1, GBGT1, LDHC, GNPDA1, GLB1, GPD1, HYAL3, ME1, B4GALNT1, B4GALT7",1416,174,18585,1.659482759,1,1,0.999344262,
Cellular Component,137,Golgi cis cisterna,7,0.36900369,0.025083108,"GOLGA8R, GOLGA8T, XYLT1, GOLGA8J, GOLGA8M, GOLGA8O, GOLGA8Q",1515,30,19595,3.017931793,0.999999998,0.716718883,0.70857435,
Biological Process,72488,ammonium transmembrane transport,4,0.210859251,0.026115746,"SLC12A5, RHCG, RHBG, RHCE",1416,9,18585,5.833333333,1,1,0.999344262,
