Category,Number,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,
Biological Process,7165,signal transduction,118,6.220347918,0.026117933,"CNTFR, DGKA, REG1A, RPS6KA6, RASSF2, CCN5, CDKL2, CHRNB1, PRKAB2, CSNK2A1, PRKCB, IGFBP2, OLFM4, THNSL2, HPCAL4, OLFM1, OLFM2, BCAM, ULK1, FBN2, BEX3, BEX2, NDRG4, BEX1, NDRG3, PDE1C, PDE1B, PEX11A, CHRNA7, CRABP1, LHB, ITPR1, STC1, CREBL2, RASGRP2, RAP1GAP, CORO1C, ARHGAP22, CACNA1I, GRK3, FAM83E, CASKIN1, ASIC1, MAP2K6, DTNA, ADA2, IGF1, INHBE, FGF17, BMP3, MAVS, GNAL, DLG4, GNRH2, SCGB3A1, GNB3, CHRFAM7A, SERGEF, FGF11, BEX5, GABRB3, ARHGAP9, LMBR1L, TENM2, CLIC3, ARHGAP8, CGB7, PDE3B, C1QTNF9, DUSP15, RND2, GABRR1, APPL1, PSD, EDARADD, TRIM63, GFRA1, GAB4, ADAMTS20, APBB1IP, RASA3, ITPKA, IL1RAPL1, CNGB3, ARHGEF7, TRIM54, RHOQ, TAMALIN, LTK, GUCY2D, CLEC12A, SRC, ACVR1B, ADCY8, ARFRP1, MAPK8, PDE11A, WNT11, GLRA3, RASD1, NTF3, OLFML1, PDE6B, LEFTY2, MACC1, GABRA3, VEGFC, MAPK12, TAFA4, CD4, P2RX5, TAFA2, TAFA3, SNX17, DLC1, TEK, CCL28, F2RL3",1416,1293,18585,1.197795824,1,1,0.999344262,
Cellular Component,5776,autophagosome,12,0.632577754,0.026165064,"PEG3, TBC1D5, TP53INP2, RAB24, TBC1D25, ULK1, ATP13A2, WIPI2, TBC1D17, ATG14, TMEM230, VPS16",1515,74,19595,2.097404335,0.999999999,0.716718883,0.70857435,
Cellular Component,16529,sarcoplasmic reticulum,9,0.474433316,0.026243494,"FKBP1A, RASD1, FKBP1C, POMT1, CMYA5, ATP2A3, ITPR1, AKAP6, TRDN",1515,47,19595,2.47672214,0.999999999,0.716718883,0.70857435,
Molecular Function,8080,N-acetyltransferase activity,6,0.316288877,0.026749436,"SAT2, ELP3, NAGS, NAT14, KAT14, NAA80",1449,22,18178,3.421419161,1,1,0.998653199,
Molecular Function,47555,"3',5'-cyclic-GMP phosphodiesterase activity",5,0.263574064,0.026874327,"PDE11A, PDE1C, PDE1B, PDE3B, PDE6B",1449,15,18178,4.18173453,1,1,0.998653199,
Molecular Function,70700,BMP receptor binding,5,0.263574064,0.026874327,"BMP3, BMP2, SRC, BMP7, ELAPOR2",1449,15,18178,4.18173453,1,1,0.998653199,
Cellular Component,98839,postsynaptic density membrane,14,0.73800738,0.028476169,"MPP2, PRR7, CLSTN3, ACTN2, PTPRO, GRIK4, ADCY1, LIN7B, GRIN2B, CACNG8, EFNB3, DLG4, LRFN1, LRRC4B",1515,94,19595,1.926339442,1,0.751770864,0.743228013,
Biological Process,60347,heart trabecula formation,5,0.263574064,0.029057667,"FKBP1A, HEY1, FKBP1C, TEK, NKX2-5",1416,16,18585,4.1015625,1,1,0.999344262,
Molecular Function,5262,calcium channel activity,12,0.632577754,0.029063041,"CACNG6, TMEM37, CACNB2, CACNG8, TRPC4, CHRNA7, ITPR1, TRPV3, CACNA2D2, CACNA1D, CHRFAM7A, ANXA9",1449,73,18178,2.062225247,1,1,0.998653199,
Biological Process,7169,transmembrane receptor protein tyrosine kinase signaling pathway,18,0.948866632,0.029356367,"LTK, EPHA7, SRMS, MUSK, SRC, EPHA8, FLT4, GAB4, NTF4, FGR, CD4, EFS, DOK4, CD8A, NTF3, TEK, ALKAL1, SAMD10",1416,136,18585,1.737132353,1,1,0.999344262,
Biological Process,6836,neurotransmitter transport,9,0.474433316,0.030465793,"SLC6A6, SLC6A8, SV2B, SLC6A13, SLC29A4, SLC6A12, SLC17A7, SLC29A1, SLC1A6",1416,49,18585,2.410714286,1,1,0.999344262,
Biological Process,1905906,regulation of amyloid fibril formation,3,0.158144439,0.031334584,"CHRNA7, CHRFAM7A, APOE",1416,4,18585,9.84375,1,1,0.999344262,
Biological Process,6550,isoleucine catabolic process,3,0.158144439,0.031334584,"ACADSB, ACAT1, BCAT2",1416,4,18585,9.84375,1,1,0.999344262,
Biological Process,42423,catecholamine biosynthetic process,3,0.158144439,0.031334584,"PNMT, DDC, PAH",1416,4,18585,9.84375,1,1,0.999344262,
Biological Process,1902474,positive regulation of protein localization to synapse,3,0.158144439,0.031334584,"CLSTN3, WNT5A, MAPT",1416,4,18585,9.84375,1,1,0.999344262,
Biological Process,51936,gamma-aminobutyric acid reuptake,3,0.158144439,0.031334584,"SLC6A13, SLC6A12, SLC6A11",1416,4,18585,9.84375,1,1,0.999344262,
Biological Process,70509,calcium ion import,6,0.316288877,0.031966991,"CACNA1I, CACNB2, TRPC4, CACNA1B, CACNA1D, CACNA1F",1416,24,18585,3.28125,1,1,0.999344262,
Biological Process,7271,"synaptic transmission, cholinergic",6,0.316288877,0.031966991,"CHRNB1, RIC3, CHRNA7, CHRFAM7A, ANXA9, APOE",1416,24,18585,3.28125,1,1,0.999344262,
Cellular Component,5886,plasma membrane,440,23.19451766,0.031969319,"CNTFR, RXFP4, MRGPRE, SLA2, SLC4A3, SCAMP5, PREX1, HTR6, TMEM88, MS4A15, PRSS8, VSTM5, BVES, CSNK2A1, PRKCB, CACNA2D2, PDZK1, UNC5D, PDYN, PHKA2, GPR162, CLDN5, BCAM, DAAM1, ORAI3, TTYH2, IL20RB, SLC5A2, EPB41L5, CRACR2A, EPB41L1, PCDHA4, PCDHA3, PLCG1, CFAP65, SLC19A1, PCDHA6, ABCA2, FZD2, HOMER2, MCAM, SLC16A11, SLC16A10, ERLIN2, GRIN2B, SLC16A14, SLC16A13, SLC6A6, SLC6A8, TCN2, PCDHB2, PCDHB6, PCDHB5, CHRFAM7A, PCDHB4, REN, PCDHB3, ADA, CDK16, GABRB3, ACHE, NRSN2, PIGU, KCNC3, FMN2, HIF3A, PHF7, GPRC6A, CATIP, JPH3, ANXA9, APPL1, ELAPOR2, APBB1IP, MMP17, PLIN4, VN1R1, SLC29A4, SLC29A1, PLCB2, TAMALIN, TP53I13, STAU1, KCNA1, ADCY2, KCNA5, ADCY1, KCNA6, ADCY8, TMEM163, SLC7A2, APOLD1, GLRA3, ADAM23, AP2S1, SLC17A7, ALKAL1, RABAC1, RHBG, AOC1, SLC16A1, DMTN, SMAGP, F12, IL10RA, ECEL1, GABRA3, SEPTIN5, WDR13, CCDC8, CRLF3, ADGRL3, DGKB, TUSC3, DGKA, CDH8, SLC8A2, TM7SF2, BEST4, CDH3, HEPHL1, LAMP1, POTED, CHP2, SLC16A6, MAP3K7, SLC16A4, SEMA6B, KCNH2, SEMA6C, KCNH3, SLC15A1, KCNH5, RALGAPA2, OLFM4, SLC9B1, SLC9A2, CACNB2, LGSN, MORF4L2, RAB38, RHCG, PHPT1, DSC1, DSC2, RHCE, OR8G3P, ITPR1, LIN7B, CORO1A, LRRC52, TMEM25, BAG4, IGSF23, SLC38A3, LRRC4B, SLC14A2, ANKRD24, RASL10B, GOT2, TNFRSF10C, SLC4A11, NSFL1C, PTPRA, LRFN1, SLCO1A2, SERINC3, DPP10, LMBR1L, FLT4, HTR2C, ADRA1D, ECE2, DUSP15, ATRAID, TRO, ATP7B, ME1, ADGRV1, PIANP, GNRHR2, TRPC4, KCNAB1, ATRN, PPM1A, RTN4RL1, NRG4, IL1RAPL1, CNGB3, DSG1, TMBIM6, ITGA5, LCP1, OR56A3, CX3CR1, SRC, USH1C, SLC5A11, SLC5A12, LRP6, CACNG6, CACNG8, RAB25, SLITRK4, RAB24, RAB29, SLITRK5, ATP9A, TUB, SLC35A1, COL26A1, SLC12A5, PPIL2, KCNJ12, SLC12A1, PCDH8, KCNJ15, APOBR, P2RX5, RAB17, MDGA2, MYO1H, UNC79, NECTIN2, NPFFR2, CPNE8, SLC46A1, TAS2R20, HDAC11, MLC1, ZDHHC2, RASSF2, ADGRA2, BSG, CPNE1, ARRDC4, EPHA7, MUSK, MUCL1, ENTPD3, ACTN2, PAQR5, EPHA8, MTUS1, SLC6A13, HLA-C, SLC6A12, SLC6A11, FNDC4, ANTXRL, KCNQ1, BCORL1, OR8G5, SPTBN4, GIPR, PCDH15, NKAIN1, SYNGR1, TSPAN9, CD19, CMYA5, TSPAN4, KCNN1, KCNN2, APOE, VASP, MSR1, FER1L5, DTNA, TAS2R31, MAGEE1, PARVB, TAS2R38, ALOX15B, LPAR5, WNK2, CALM3, SCN2B, ITM2C, TENM2, SLC44A4, PTPRO, GRIK4, PPP3CA, GABRR1, KCNT1, HYAL3, TMEM150A, KREMEN1, GFRA1, IL17RD, SYN2, ANO2, ANO3, SLC22A23, MAPT, ARHGEF7, DBN1, RHOQ, NAPA, RAMP2, GUCY2D, TMPRSS6, SLC43A1, CST3, DUOX1, ARVCF, PDPN, LY6G6C, CORIN, REM2, MPP2, MPP3, GABBR1, SLC31A2, NUBPL, PRSS42P, PCDHB14, PCDHB13, AP2B1, PCDHB12, PCDHB11, SVIP, MPP7, TBC1D3L, PCDHB16, TACC2, RAB9B, CDK5R2, F2RL3, SCARB1, ARID4A, TMEM266, BASP1, FRRS1L, ENPP2, BORCS5, CHRNB1, PCID2, KIRREL2, SCARA5, SLC30A3, WNT5A, ADAM11, ATP1B2, PCDHA11, FOLH1, CD8A, GNAZ, NDRG4, ARHGEF25, CHRNA7, PSEN2, CACNA1B, CACNA1D, CABP1, SLC1A6, RASGRP2, FUT1, MCHR2, ADGRG3, CACNA1I, GRK3, EFNB3, HRH2, PDZD7, ASIC1, RAP1GAP2, SYT5, SYT3, MPIG6B, CNTN5, UBE2C, TRPV3, MT3, BMP2, GNAL, CPS1, DLG4, GNAS, GNB3, KLRD1, ULBP2, SDK2, PRR7, PCDHGB3, PCDHGB2, MLNR, CGAS, RND2, SPRED3, TMEM100, GRM7, RASGEF1C, GPER1, ABCC4, PCDHGA7, PCDHGA6, PCDHGA5, PCDHGA4, PCDHGA3, PCDHGA2, ATP6AP2, CKAP4, TRDN, FGR, IGDCC4, PCDHGB1, CHMP7, CDH18, LTK, RGS19, CLEC12A, MOSPD2, ATP1A4, OPRL1, SLC3A1, ACVR1B, TFPI, DLL1, ADD2, DLL3, PRRG3, MAPK9, MAPK8, EFS, GNG2, RASD1, SV2B, PRRG2, PDE6B, TAS1R1, SGPP1, WARS2, ADGRD1, CD4, RANGRF, ACKR3, RGS11, TEK",1515,5274,19595,1.079058987,1,0.773287457,0.7645001,
Cellular Component,14802,terminal cisterna,3,0.158144439,0.032220311,"FKBP1A, RTN2, FKBP1C",1515,4,19595,9.70049505,1,0.773287457,0.7645001,
Cellular Component,44599,AP-5 adaptor complex,3,0.158144439,0.032220311,"AP5M1, AP5Z1, AP5S1",1515,4,19595,9.70049505,1,0.773287457,0.7645001,
Biological Process,7417,central nervous system development,19,1.001581444,0.032461008,"SEMA6B, POU6F2, LIG4, ELP3, ZIC4, ECRG4, VAX2, HPCAL4, NPAS1, TBX3, POU3F3, DMBX1, BCAN, RPS6KA6, ADGRA2, ADAM23, ZIC1, NDN, JARID2",1416,148,18585,1.684966216,1,1,0.999344262,
Biological Process,1934,positive regulation of protein phosphorylation,26,1.370585134,0.03326252,"CDKN1B, FAXDC2, FLT4, CHRNA7, THPO, GPER1, RACK1, ZNF268, CAMP, NKX3-1, MAP2K6, EPHA7, MUSK, RARRES2, VEGFC, ATG14, MT3, MMP9, FGF17, BMP2, CD4, MAVS, PINK1, FGF19, CHRFAM7A, TEK",1416,223,18585,1.530269058,1,1,0.999344262,
Biological Process,42594,response to starvation,8,0.421718503,0.033521232,"CPS1, TBC1D5, FOXK1, ULK1, HMGCS2, FOXO3, PPARGC1A, ACAT1",1416,41,18585,2.56097561,1,1,0.999344262,
Molecular Function,4707,MAP kinase activity,5,0.263574064,0.033629747,"MAPK9, MAPK8, MAP3K7, MAPK4, MAPK12",1449,16,18178,3.920376121,1,1,0.998653199,
Molecular Function,50218,propionate-CoA ligase activity,3,0.158144439,0.034131499,"ACSS3, ACSM3, ACSS1",1449,4,18178,9.408902692,1,1,0.998653199,
Molecular Function,10855,adenylate cyclase inhibitor activity,3,0.158144439,0.034131499,"GNAZ, ADGRV1, GRM7",1449,4,18178,9.408902692,1,1,0.998653199,
Molecular Function,5368,taurine transmembrane transporter activity,3,0.158144439,0.034131499,"SLC6A6, SLC16A6, SLC6A13",1449,4,18178,9.408902692,1,1,0.998653199,
Molecular Function,70905,serine binding,3,0.158144439,0.034131499,"GRM7, SHMT1, THNSL2",1449,4,18178,9.408902692,1,1,0.998653199,
Biological Process,90037,positive regulation of protein kinase C signaling,4,0.210859251,0.035234541,"WNT11, ADGRV1, FLT4, WNT5A",1416,10,18585,5.25,1,1,0.999344262,
Biological Process,48023,positive regulation of melanin biosynthetic process,4,0.210859251,0.035234541,"CDH3, TYRP1, RAB38, APPL1",1416,10,18585,5.25,1,1,0.999344262,
Biological Process,16486,peptide hormone processing,5,0.263574064,0.035769274,"PCSK1N, SCG5, ECE2, PLA2G7, CORIN",1416,17,18585,3.860294118,1,1,0.999344262,
Biological Process,1902476,chloride transmembrane transport,15,0.790722193,0.039567823,"GABRB3, SLC12A5, CLIC3, TTYH2, GABRA3, SLC12A1, SLC26A10P, SLC4A3, ANO2, ANO3, GABRR1, BEST4, GLRA3, CLCN4, SLC17A7",1416,110,18585,1.789772727,1,1,0.999344262,
Molecular Function,30023,extracellular matrix constituent conferring elasticity,4,0.210859251,0.039590433,"FBN2, EMILIN3, EMILIN1, FBLN2",1449,10,18178,5.018081435,1,1,0.998653199,
Cellular Component,98794,postsynapse,18,0.948866632,0.03969157,"CHRNA7, WNT5A, GABRA3, ELAVL4, CELF4, AP2B1, CPT1C, SLC8A2, PPP3CA, P2RX5, GRK3, AP2S1, CHRFAM7A, RAB17, WASF1, ARHGEF7, SLC29A1, APPL1",1515,139,19595,1.67490562,1,0.924580101,0.914073509,
Biological Process,1756,somitogenesis,8,0.421718503,0.042162418,"HES7, TCF15, WNT5A, PCDH8, DLL1, PAX1, NKX3-1, DLL3",1416,43,18585,2.441860465,1,1,0.999344262,
Biological Process,7218,neuropeptide signaling pathway,15,0.790722193,0.042238959,"NPFFR2, NPB, UCN, CALCA, NXPH4, ECEL1, RXFP4, OPRL1, PDYN, ECRG4, MCHR2, PCSK1N, GLRA3, GAL, SCG5",1416,111,18585,1.773648649,1,1,0.999344262,
Biological Process,1901379,regulation of potassium ion transmembrane transport,5,0.263574064,0.043299772,"DPP10, KCNH2, KCNN2, CACNA1D, KCNAB1",1416,18,18585,3.645833333,1,1,0.999344262,
Biological Process,35902,response to immobilization stress,6,0.316288877,0.04365805,"GLTP, GAL, ERCC1, REN, NR0B1, HDAC6",1416,26,18585,3.028846154,1,1,0.999344262,
Biological Process,1900273,positive regulation of long-term synaptic potentiation,6,0.316288877,0.04365805,"STAU1, CHRNA7, CHRFAM7A, ADCY1, ADCY8, ZDHHC2",1416,26,18585,3.028846154,1,1,0.999344262,
Molecular Function,3824,catalytic activity,18,0.948866632,0.04489159,"LGI3, PGGHG, ATP6AP2, BCKDHB, ODC1, SLC3A1, OLFM4, CDYL2, GCAT, SUGCT, FAHD2B, CNOT6, NFS1, LGSN, PDE12, HHIPL1, UPP1, BCAT2",1449,137,18178,1.648274924,1,1,0.998653199,
Biological Process,71803,positive regulation of podosome assembly,4,0.210859251,0.045766564,"MAPK9, SRC, FSCN1, LCP1",1416,11,18585,4.772727273,1,1,0.999344262,
Cellular Component,1990454,L-type voltage-gated calcium channel complex,4,0.210859251,0.047503388,"CACNG6, CACNB2, CACNG8, CACNA1D",1515,11,19595,4.703270327,1,1,0.98988622,
Molecular Function,16787,hydrolase activity,29,1.528729573,0.047846059,"ACHE, AHCYL2, PARG, TP53RK, HDAC11, ABHD1, HDAC6, CNDP2, NUDT11, LIPE, NUDT10, ATP7B, ENPP2, ATP6V0E2, TMEM86A, ADGRV1, ENTPD3, PGAM2, KLK13, ABHD14A, DDX51, CES4A, FAHD2B, SERHL, PNPLA3, SERHL2, PNPLA5, DCP1A, ATP6V1B1",1449,253,18178,1.437987763,1,1,0.998653199,
Cellular Component,16020,membrane,305,16.07801792,0.048105902,"CNTFR, PLEKHB1, TMEM94, MLC1, EMC10, KLHDC7A, SLC4A3, SCAMP5, LIPE, C3ORF18, ADGRA2, PPP2R1A, CREB3L1, BSG, CPNE1, VSTM5, BVES, ENTPD3, FBXO2, HLA-C, SLC6A12, SLC6A11, GBGT1, CLDN5, RNF128, DAAM1, KCNQ1, ORAI3, MXRA7, SPTBN4, RPN2, GIPR, FAXDC2, SLC5A2, PGBD1, PCNX4, CRACR2A, FAM171A2, RAB11FIP1, AP5M1, CHST11, B4GALNT1, KCNN2, PSMF1, APOE, H3C6, BBS2, VAT1, CTSA, ABCA2, MYH7B, MSR1, TMEM86A, TMEM74B, TAS2R31, SLC35E3, GREB1, ABCA9, NR0B1, TAS2R38, ALOX15B, SLC6A6, RNF225, SLC6A8, PCDHB2, GPR180, PCDHB6, PCDHB5, PCDHB4, REN, DCHS1, FBXL2, PCDHB3, DCP1A, GLIPR1L2, ADA, HRK, TMEM151A, ACHE, PIGU, TMEM151B, CLIC3, SLC44A4, PIGT, PTPRO, AATK, NAT14, HERPUD1, SERPINA5, GYS1, JPH3, B3GALT1, TCTN1, C5ORF60, C19ORF18, EMD, STUM, APPL1, KREMEN1, TMEM37, FAM234B, RILPL2, B3GNT4, GAS2, MAPT, ERGIC3, SLC29A1, NAPA, POPDC3, NAPB, TOMM40, STAU1, STX16, ADCY2, ADCY1, ADCY8, TMEM163, ARFRP1, SLC17A9, PDPN, MGAT1, SLC17A7, DNAJC5G, CYP2F1, RABAC1, ATP6V0E2, RNF130, RPRM, MPP2, LRRC24, SLC16A1, TMEM176A, ADAM33, VEGFC, PCDHB14, PCDHB13, AP2B1, PCDHB11, SVIP, FIG4, FKBP1A, DHRS7, SNX17, FABP6, DLC1, FKBP1C, PCDHB16, PNPLA3, NUCB1, PNPLA5, MEGF8, CDK5R2, ADGRL3, RIPOR1, CLSTN3, DENND5B, DGKA, CSE1L, GXYLT2, SLC8A2, TMEM145, CDH3, APMAP, IBSP, LAMP1, FADS6, SLC16A6, SVEP1, SLC16A4, BORCS5, KCNH3, SLC15A1, KIRREL2, SLC30A3, TMEM178B, MATK, TOMM34, FAM118A, ATP1B2, TMEM254, SLC9A2, DISP3, TMEM256, PRPF6, FOLH1, LGSN, RGS9BP, ELMO2, HHIPL1, RAB38, TTPAL, DSC1, FTL, OR8G3P, CHRNA7, ABHD1, PSEN2, ITPR1, GLT8D2, CACNA1F, SLC1A6, CORO1A, FUT1, RAP1GAP, ENTREP2, TMEM121, ADGRG3, BAG4, PORCN, CASKIN1, MDN1, OSBPL8, SLC14A2, WSCD1, SLC4A11, TMEM230, MANBAL, ABHD15, CNOT6, IBTK, PTPRA, PRPH2, UST, SLCO1A2, GNAS, DYNLRB1, SERINC3, SERINC2, DPP10, CNTNAP2, DDX47, PDE3B, POMT1, ELAVL4, DDX41, ELFN2, GPR89B, NKPD1, SPRED3, ARMH4, ATP7B, AP1G2, GRM7, CEP290, ABCC4, ADGRV1, PIANP, SMIM17, PCDHGA3, ATP6AP2, ABHD14A, DDX51, WIPI2, CKAP4, TRDN, DNAJC3, ATRN, PPM1A, SNPH, TMEM215, COL6A1, TMBIM6, C1GALT1C1L, B4GALT7, CNTNAP5, RNFT2, SMIM24, LTK, RGS19, CD163L1, CLEC2L, LRTM2, MSLNL, MOSPD2, SLC3A1, ACVR1B, DLL3, SELENBP1, PRRG3, GNG2, SV2B, KLRG2, RAB29, CYYR1, TAS1R1, SLC35A1, ARFGEF2, LINGO3, SLC12A5, KCNJ12, KRR1, SLC12A1, KCNJ15, DDHD2, APOBR, SGPP1, ADGRD1, CD4, PINK1, CLCN4, ATP13A2, PFKM, NECTIN2, SMIM45, SMIM44",1515,3617,19595,1.090646388,1,1,0.98988622,
Cellular Component,32420,stereocilium,7,0.36900369,0.049503451,"BBS2, ADGRV1, ANKRD24, PCDH15, USH1C, PDZD7, PVALB",1515,35,19595,2.58679868,1,1,0.98988622,
Biological Process,1901909,diadenosine hexaphosphate catabolic process,3,0.158144439,0.049612291,"NUDT11, NUDT10, NUDT3",1416,5,18585,7.875,1,1,0.999344262,
Biological Process,71543,diphosphoinositol polyphosphate metabolic process,3,0.158144439,0.049612291,"NUDT11, NUDT10, NUDT3",1416,5,18585,7.875,1,1,0.999344262,
Biological Process,32507,maintenance of protein location in cell,3,0.158144439,0.049612291,"CD4, DZIP1, DBN1",1416,5,18585,7.875,1,1,0.999344262,
Biological Process,98914,membrane repolarization during atrial cardiac muscle cell action potential,3,0.158144439,0.049612291,"KCNQ1, KCNN2, KCNA5",1416,5,18585,7.875,1,1,0.999344262,
Biological Process,6196,AMP catabolic process,3,0.158144439,0.049612291,"NT5C1A, AMPD3, ADA",1416,5,18585,7.875,1,1,0.999344262,
Biological Process,1901911,adenosine 5'-(hexahydrogen pentaphosphate) catabolic process,3,0.158144439,0.049612291,"NUDT11, NUDT10, NUDT3",1416,5,18585,7.875,1,1,0.999344262,
Biological Process,1901907,diadenosine pentaphosphate catabolic process,3,0.158144439,0.049612291,"NUDT11, NUDT10, NUDT3",1416,5,18585,7.875,1,1,0.999344262,
Molecular Function,5254,chloride channel activity,11,0.579862941,0.049850345,"GABRB3, BEST4, GABRR1, GLRA3, CLIC3, CLCN4, TTYH2, GABRA3, SLC17A7, ANO2, ANO3",1449,70,18178,1.971389135,1,1,0.998653199,
Cellular Component,48786,presynaptic active zone,8,0.421718503,0.050198134,"BRSK1, EGFLAM, GRM7, GPER1, SLC17A7, ADCY8, ERC2, PPFIA3",1515,44,19595,2.351635164,1,1,0.98988622,
Biological Process,50807,regulation of synapse organization,6,0.316288877,0.050345629,"IL10RA, SLITRK4, WNT5A, PTPRO, APOE, CDH8",1416,27,18585,2.916666667,1,1,0.999344262,
Biological Process,48843,negative regulation of axon extension involved in axon guidance,6,0.316288877,0.050345629,"SEMA6B, SEMA6C, SEMA3D, WNT5A, SEMA3G, HDAC6",1416,27,18585,2.916666667,1,1,0.999344262,
Molecular Function,42166,acetylcholine binding,4,0.210859251,0.051289889,"CHRNB1, ACHE, CHRNA7, CHRFAM7A",1449,11,18178,4.561892214,1,1,0.998653199,
Biological Process,1990573,potassium ion import across plasma membrane,8,0.421718503,0.052127797,"KCNH2, SLC12A5, KCNJ12, KCNQ1, SLC12A1, ATP1A4, KCNJ15, ATP1B2",1416,45,18585,2.333333333,1,1,0.999344262,
Biological Process,1580,detection of chemical stimulus involved in sensory perception of bitter taste,7,0.36900369,0.052481669,"CST2, CST1, TAS2R31, TAS2R20, TAS2R38, PLCB2, CST4",1416,36,18585,2.552083333,1,1,0.999344262,
Cellular Component,30424,axon,38,2.003162889,0.052591733,"TMEM151A, CNTNAP2, DDC, KCNC3, PTPRO, ELAVL4, ADCY8, CORO1A, RAP1GAP, HDAC6, SLC8A2, NTF4, MAPK8, GRM7, GPER1, BSG, NTF3, SLC38A7, KIF1A, VSTM5, VPS16, SYT5, DTNA, CNTN5, TXNRD2, ATP6AP2, ADAM11, LSM1, GFRA1, CPT1C, MT3, OLFM1, PINK1, IL1RAPL1, ULK1, MAPT, PVALB, ADGRL3",1515,364,19595,1.350252058,1,1,0.98988622,
Cellular Component,32039,integrator complex,6,0.316288877,0.053073002,"CT45A10, SAGE1, CT45A3, CT45A5, INTS9, CT45A1",1515,27,19595,2.874220755,1,1,0.98988622,
